#PLANNING_CYCLE,FORECAST_START_DATE,FORECAST_END_DATE,FORECAST_TYPE,GSAP_ORG_CLASS,BUSINESS_UNIT,ORG_CLASS,GSAP_CONTRACT_NUM,GSAP_MOT_MOD,GSAP_PROPERTY_NUM,GSAP_PRODUCT_CODE,VOLUME,GSAP_UOM,GSAP_PRODUCT_CODE_FINISHED,VOLUME_FINISHED,GSAP_UOM_FINISHED,TME_SCE_VRS_DTE,SRC_PHY_SYS_ISC
202010,10/14/20,10/14/20,LATEST,305,C,CCR,,10,Y000,400007120,238.12,GAL,400010710,238.12,GAL,10/15/20 11:12,D_W
202010,10/14/20,10/14/20,LATEST,305,C,CCR,,10,Y000,400007132,60952.48,GAL,400010710,60952.48,GAL,10/15/20 11:12,D_W
202010,10/15/20,10/15/20,LATEST,305,C,CCR,,10,Y000,400007120,1736.68,GAL,400010710,1736.68,GAL,10/15/20 11:12,D_W
202010,10/15/20,10/15/20,LATEST,305,C,CCR,,10,Y000,400007132,66946.72,GAL,400010710,66946.72,GAL,10/15/20 11:12,D_W
202010,10/16/20,10/16/20,LATEST,305,C,CCR,,10,Y000,400007120,1215.88,GAL,400010710,1215.88,GAL,10/15/20 11:12,D_W
202010,10/16/20,10/16/20,LATEST,305,C,CCR,,10,Y000,400007132,64863.52,GAL,400010710,64863.52,GAL,10/15/20 11:12,D_W
202010,10/17/20,10/17/20,LATEST,305,C,CCR,,10,Y000,400007120,8392.88,GAL,400010710,8392.88,GAL,10/15/20 11:12,D_W
202010,10/17/20,10/17/20,LATEST,305,C,CCR,,10,Y000,400007132,26428.48,GAL,400010710,26428.48,GAL,10/15/20 11:12,D_W
202010,10/18/20,10/18/20,LATEST,305,C,CCR,,10,Y000,400007120,12062.84,GAL,400010710,12062.84,GAL,10/15/20 11:12,D_W
202010,10/18/20,10/18/20,LATEST,305,C,CCR,,10,Y000,400007132,11748.64,GAL,400010710,11748.64,GAL,10/15/20 11:12,D_W
202010,10/19/20,10/19/20,LATEST,305,C,CCR,,10,Y000,400007120,1247.84,GAL,400010710,1247.84,GAL,10/15/20 11:12,D_W
202010,10/19/20,10/19/20,LATEST,305,C,CCR,,10,Y000,400007132,55008.64,GAL,400010710,55008.64,GAL,10/15/20 11:12,D_W
202010,10/20/20,10/20/20,LATEST,305,C,CCR,,10,Y000,400007120,1376.32,GAL,400010710,1376.32,GAL,10/15/20 11:12,D_W
202010,10/20/20,10/20/20,LATEST,305,C,CCR,,10,Y000,400007132,65505.28,GAL,400010710,65505.28,GAL,10/15/20 11:12,D_W
202010,10/21/20,10/21/20,LATEST,305,C,CCR,,10,Y000,400007120,238.12,GAL,400010710,238.12,GAL,10/15/20 11:12,D_W
202010,10/21/20,10/21/20,LATEST,305,C,CCR,,10,Y000,400007132,60952.48,GAL,400010710,60952.48,GAL,10/15/20 11:12,D_W
202010,10/22/20,10/22/20,LATEST,305,C,CCR,,10,Y000,400007120,1736.68,GAL,400010710,1736.68,GAL,10/15/20 11:12,D_W
202010,10/22/20,10/22/20,LATEST,305,C,CCR,,10,Y000,400007132,66946.72,GAL,400010710,66946.72,GAL,10/15/20 11:12,D_W
202010,10/23/20,10/23/20,LATEST,305,C,CCR,,10,Y000,400007120,1215.88,GAL,400010710,1215.88,GAL,10/15/20 11:12,D_W
202010,10/23/20,10/23/20,LATEST,305,C,CCR,,10,Y000,400007132,64863.52,GAL,400010710,64863.52,GAL,10/15/20 11:12,D_W
202010,10/24/20,10/24/20,LATEST,305,C,CCR,,10,Y000,400007120,8392.88,GAL,400010710,8392.88,GAL,10/15/20 11:12,D_W
202010,10/24/20,10/24/20,LATEST,305,C,CCR,,10,Y000,400007132,26428.48,GAL,400010710,26428.48,GAL,10/15/20 11:12,D_W
202010,10/25/20,10/25/20,LATEST,305,C,CCR,,10,Y000,400007120,12062.84,GAL,400010710,12062.84,GAL,10/15/20 11:12,D_W
202010,10/25/20,10/25/20,LATEST,305,C,CCR,,10,Y000,400007132,11748.64,GAL,400010710,11748.64,GAL,10/15/20 11:12,D_W
202010,10/26/20,10/26/20,LATEST,305,C,CCR,,10,Y000,400007120,1247.84,GAL,400010710,1247.84,GAL,10/15/20 11:12,D_W
202010,10/26/20,10/26/20,LATEST,305,C,CCR,,10,Y000,400007132,55008.64,GAL,400010710,55008.64,GAL,10/15/20 11:12,D_W
202010,10/27/20,10/27/20,LATEST,305,C,CCR,,10,Y000,400007120,1376.32,GAL,400010710,1376.32,GAL,10/15/20 11:12,D_W
202010,10/27/20,10/27/20,LATEST,305,C,CCR,,10,Y000,400007132,65505.28,GAL,400010710,65505.28,GAL,10/15/20 11:12,D_W
202010,10/28/20,10/28/20,LATEST,305,C,CCR,,10,Y000,400007120,238.12,GAL,400010710,238.12,GAL,10/15/20 11:12,D_W
202010,10/28/20,10/28/20,LATEST,305,C,CCR,,10,Y000,400007132,60952.48,GAL,400010710,60952.48,GAL,10/15/20 11:12,D_W
202010,10/29/20,10/29/20,LATEST,305,C,CCR,,10,Y000,400007120,1736.68,GAL,400010710,1736.68,GAL,10/15/20 11:12,D_W
202010,10/29/20,10/29/20,LATEST,305,C,CCR,,10,Y000,400007132,66946.72,GAL,400010710,66946.72,GAL,10/15/20 11:12,D_W
202010,10/30/20,10/30/20,LATEST,305,C,CCR,,10,Y000,400007120,1215.88,GAL,400010710,1215.88,GAL,10/15/20 11:12,D_W
202010,10/30/20,10/30/20,LATEST,305,C,CCR,,10,Y000,400007132,64863.52,GAL,400010710,64863.52,GAL,10/15/20 11:12,D_W
202010,10/31/20,10/31/20,LATEST,305,C,CCR,,10,Y000,400007120,8392.88,GAL,400010710,8392.88,GAL,10/15/20 11:12,D_W
202010,10/31/20,10/31/20,LATEST,305,C,CCR,,10,Y000,400007132,26428.48,GAL,400010710,26428.48,GAL,10/15/20 11:12,D_W
